le portrait robot	Phantombild
grand	groß
petit	klein
blond	blond
brun	braun
d’accord	okay, einverstanden
avoir des lunettes	eine Brille tragen
les lunettes (feminin)	 Brille
pas de	kein/e
ne … pas	nicht
le vêtement	Kleidungsstück
porter	tragen
le tee-shirt	T-Shirt
blanc/blanche	weiß
le pantalon	Hose
noir	schwarz
le jean	Jeans
lui	er (betont)
de quelle coleur?	Welcher Farbe?
la coleur	Farbe
autre chose	etwas anderes, noch etwas
la chose	Sache, Ding
la chemise	Hemd
ses	seine/ihre (Plural)
les chaussures (feminin)	Schuhe
les baskets (feminin)	Sportschuhe
observer	betrachten, sich etwas genau ansehen
la description	Beschreibung
le pronom tonique	betontes Personalpronomen
être à quel qu’un	jdm gehören
toi	du (betont); dir
elle	sie (betont); ihr
vous	ihr, Sie (betont); euch, Ihnen
la négation	Verneinung
entourer	umschließen
la forme négative	verneinende Form
la forme	Form
négatif/-ive	negativ, verneinend
l’accord	Übereinstimmung
la robe	Kleid
identique	gleich, identisch
mes	meine  (Plural)
tes	deine (Plural)
nos	unsere (Plural)
vos	eure; Ihre (Plural)
leur(s)	ihr(e)
exprimer	ausdrücken
la possession 	Besitz
À qui est …?	Wem gehört…?
bon/ne	ricthig
la réponse	Antwort
poser une question	eine Frage stellen
le pull	Pullover
jaune	gelb
la classe	Klasse
la devinette	Rätsel
deviner	raten, erraten
la liaison	Verbindung
faire les liaisons	die Wörter verbinden
